Date,Open,High,Low,Close,Adj Close,Volume,Close_Diff
6-Dec-05,1262.09,1272.89,1262.09,1263.7,1263.7,"2,110,740,000",6.33
5-Dec-05,1265.08,1265.08,1258.12,1262.09,1262.09,"2,325,840,000",-1.61
2-Dec-05,1264.67,1266.85,1261.42,1265.08,1265.08,"2,125,580,000",2.99
1-Dec-05,1249.48,1266.17,1249.48,1264.67,1264.67,"2,614,830,000",-0.41
30-Nov-05,1257.48,1260.93,1249.39,1249.48,1249.48,"2,374,690,000",-15.19
29-Nov-05,1257.46,1266.18,1257.46,1257.48,1257.48,"2,268,340,000",8
28-Nov-05,1268.25,1268.44,1257.17,1257.46,1257.46,"2,016,900,000",-0.02
25-Nov-05,1265.61,1268.78,1265.54,1268.25,1268.25,"724,940,000",10.79
23-Nov-05,1261.23,1270.64,1259.51,1265.61,1265.61,"1,985,400,000",-2.64
22-Nov-05,1254.85,1261.9,1251.4,1261.23,1261.23,"2,291,420,000",-4.38
21-Nov-05,1248.27,1255.89,1246.9,1254.85,1254.85,"2,117,350,000",-6.38
18-Nov-05,1242.8,1249.58,1240.71,1248.27,1248.27,"2,453,290,000",-6.58
17-Nov-05,1231.21,1242.96,1231.21,1242.8,1242.8,"2,298,040,000",-5.47
16-Nov-05,1229.01,1232.24,1227.18,1231.21,1231.21,"2,121,580,000",-11.59
15-Nov-05,1233.76,1237.94,1226.41,1229.01,1229.01,"2,359,370,000",-2.2
14-Nov-05,1234.72,1237.2,1231.78,1233.76,1233.76,"1,899,780,000",4.75
11-Nov-05,1230.96,1235.7,1230.72,1234.72,1234.72,"1,773,140,000",0.96
10-Nov-05,1220.65,1232.41,1215.05,1230.96,1230.96,"2,378,460,000",-3.76
9-Nov-05,1218.59,1226.59,1216.53,1220.65,1220.65,"2,214,460,000",-10.31
8-Nov-05,1222.81,1222.81,1216.08,1218.59,1218.59,"1,965,050,000",-2.06
7-Nov-05,1220.14,1224.18,1217.29,1222.81,1222.81,"1,987,580,000",4.22
4-Nov-05,1219.94,1222.52,1214.45,1220.14,1220.14,"2,050,510,000",-2.67
3-Nov-05,1214.76,1224.7,1214.76,1219.94,1219.94,"2,716,630,000",-0.2
2-Nov-05,1202.76,1215.17,1201.07,1214.76,1214.76,"2,648,090,000",-5.18
1-Nov-05,1207.01,1207.34,1201.66,1202.76,1202.76,"2,457,850,000",-12
31-Oct-05,1198.41,1211.43,1198.41,1207.01,1207.01,"2,567,470,000",4.25
28-Oct-05,1178.9,1198.41,1178.9,1198.41,1198.41,"2,379,400,000",-8.6
27-Oct-05,1191.38,1192.65,1178.89,1178.9,1178.9,"2,395,370,000",-19.51
26-Oct-05,1196.54,1204.01,1191.38,1191.38,1191.38,"2,467,750,000",12.48
25-Oct-05,1199.38,1201.3,1189.29,1196.54,1196.54,"2,312,470,000",5.16
24-Oct-05,1179.59,1199.39,1179.59,1199.38,1199.38,"2,197,790,000",2.84
21-Oct-05,1177.8,1186.46,1174.92,1179.59,1179.59,"2,470,920,000",-19.79
20-Oct-05,1195.76,1197.3,1173.3,1177.8,1177.8,"2,617,250,000",-1.79
19-Oct-05,1178.14,1195.76,1170.55,1195.76,1195.76,"2,703,590,000",17.96
18-Oct-05,1190.1,1190.1,1178.13,1178.14,1178.14,"2,197,010,000",-17.62
17-Oct-05,1186.57,1191.21,1184.48,1190.1,1190.1,"2,054,570,000",11.96
14-Oct-05,1176.84,1187.13,1175.44,1186.57,1186.57,"2,188,940,000",-3.53
13-Oct-05,1177.68,1179.56,1168.2,1176.84,1176.84,"2,351,150,000",-9.73
12-Oct-05,1184.87,1190.02,1173.65,1177.68,1177.68,"2,491,280,000",0.84
11-Oct-05,1187.33,1193.1,1183.16,1184.87,1184.87,"2,299,040,000",7.19
10-Oct-05,1195.9,1196.52,1186.12,1187.33,1187.33,"2,195,990,000",2.46
7-Oct-05,1191.49,1199.71,1191.46,1195.9,1195.9,"2,126,080,000",8.57
6-Oct-05,1196.39,1202.14,1181.92,1191.49,1191.49,"2,792,030,000",-4.41
5-Oct-05,1214.47,1214.47,1196.25,1196.39,1196.39,"2,546,780,000",4.9
4-Oct-05,1226.7,1229.88,1214.02,1214.47,1214.47,"2,341,420,000",18.08
3-Oct-05,1228.81,1233.34,1225.15,1226.7,1226.7,"2,097,490,000",12.23
30-Sep-05,1227.68,1229.57,1225.22,1228.81,1228.81,"2,097,520,000",2.11
29-Sep-05,1216.89,1228.7,1211.54,1227.68,1227.68,"2,176,120,000",-1.13
28-Sep-05,1215.66,1220.98,1212.72,1216.89,1216.89,"2,106,980,000",-10.79
27-Sep-05,1215.63,1220.17,1211.11,1215.66,1215.66,"1,976,270,000",-1.23
26-Sep-05,1215.29,1222.56,1211.84,1215.63,1215.63,"2,022,220,000",-0.03
